"Time","/kubepods/pod25a8c1f2-cef3-4209-8600-59de81b32e66/0519a017344c10b3124fa3cac7de437f8d5f90f1bf773e69091ce9300e63de19"
2022-04-18 14:29:00,0.946
2022-04-18 14:29:15,0.990
2022-04-18 14:29:30,0.990
2022-04-18 14:29:45,1.08
2022-04-18 14:30:00,1.08
2022-04-18 14:30:15,1.63
2022-04-18 14:30:30,1.63
2022-04-18 14:30:45,0.964
2022-04-18 14:31:00,0.964
2022-04-18 14:31:15,1.47
2022-04-18 14:31:30,1.47
2022-04-18 14:31:45,1.09
2022-04-18 14:32:00,1.09
2022-04-18 14:32:15,0.813
2022-04-18 14:32:30,0.813
2022-04-18 14:32:45,1.61
2022-04-18 14:33:00,1.61
2022-04-18 14:33:15,1.14
2022-04-18 14:33:30,1.14
2022-04-18 14:33:45,1.11
2022-04-18 14:34:00,1.11
2022-04-18 14:34:15,1.27
2022-04-18 14:34:30,1.27
2022-04-18 14:34:45,1.06
2022-04-18 14:35:00,1.06
2022-04-18 14:35:15,1.50
2022-04-18 14:35:30,1.50
2022-04-18 14:35:45,0.530
2022-04-18 14:36:00,0.530
2022-04-18 14:36:15,1.45
2022-04-18 14:36:30,1.45
2022-04-18 14:36:45,1.20
2022-04-18 14:37:00,1.20
2022-04-18 14:37:15,1.15
2022-04-18 14:37:30,1.15
2022-04-18 14:37:45,1.05
2022-04-18 14:38:00,1.05
2022-04-18 14:38:15,1.13
2022-04-18 14:38:30,1.13
2022-04-18 14:38:45,0.980
2022-04-18 14:39:00,0.980
2022-04-18 14:39:15,1.20
2022-04-18 14:39:30,1.20
2022-04-18 14:39:45,0.953
2022-04-18 14:40:00,0.953
2022-04-18 14:40:15,0.786
2022-04-18 14:40:30,0.786
2022-04-18 14:40:45,1.37
2022-04-18 14:41:00,1.37
2022-04-18 14:41:15,0.691
2022-04-18 14:41:30,0.691
2022-04-18 14:41:45,1.09
2022-04-18 14:42:00,1.09
2022-04-18 14:42:15,1.55
2022-04-18 14:42:30,1.55
2022-04-18 14:42:45,0.870
2022-04-18 14:43:00,0.870
2022-04-18 14:43:15,1.20
2022-04-18 14:43:30,1.20
2022-04-18 14:43:45,0.810
2022-04-18 14:44:00,0.810
2022-04-18 14:44:15,1.12
2022-04-18 14:44:30,1.12
2022-04-18 14:44:45,1.21
2022-04-18 14:45:00,1.21
2022-04-18 14:45:15,0.535
2022-04-18 14:45:30,0.535
2022-04-18 14:45:45,1.75
2022-04-18 14:46:00,1.75
2022-04-18 14:46:15,0.529
2022-04-18 14:46:30,0.529
2022-04-18 14:46:45,1.11
2022-04-18 14:47:00,1.11
2022-04-18 14:47:15,1.21
2022-04-18 14:47:30,1.21
2022-04-18 14:47:45,1.07
2022-04-18 14:48:00,1.07
2022-04-18 14:48:15,1.60
2022-04-18 14:48:30,1.60
2022-04-18 14:48:45,1.16
2022-04-18 14:49:00,1.16
2022-04-18 14:49:15,1.50
2022-04-18 14:49:30,1.50
2022-04-18 14:49:45,0.959
2022-04-18 14:50:00,0.959
2022-04-18 14:50:15,1.37
2022-04-18 14:50:30,1.37
2022-04-18 14:50:45,1.22
2022-04-18 14:51:00,1.22
2022-04-18 14:51:15,1.33
2022-04-18 14:51:30,1.33
2022-04-18 14:51:45,0.724
2022-04-18 14:52:00,0.724
2022-04-18 14:52:15,1.40
2022-04-18 14:52:30,1.40
2022-04-18 14:52:45,1.68
2022-04-18 14:53:00,1.68
2022-04-18 14:53:15,0.825
2022-04-18 14:53:30,0.825
2022-04-18 14:53:45,1.38
2022-04-18 14:54:00,1.38
2022-04-18 14:54:15,0.826
2022-04-18 14:54:30,0.826
2022-04-18 14:54:45,1.21
2022-04-18 14:55:00,1.21
2022-04-18 14:55:15,1.30
2022-04-18 14:55:30,1.30
2022-04-18 14:55:45,1.23
2022-04-18 14:56:00,1.23
2022-04-18 14:56:15,1.42
2022-04-18 14:56:30,1.42
2022-04-18 14:56:45,1.21
2022-04-18 14:57:00,1.21
2022-04-18 14:57:15,1.000
2022-04-18 14:57:30,1.000
2022-04-18 14:57:45,0.675
2022-04-18 14:58:00,0.675

