"Time","60s"
2022-04-18 15:05:45,0.181
2022-04-18 15:06:00,0.181
2022-04-18 15:06:15,0.210
2022-04-18 15:06:30,0.210
2022-04-18 15:06:45,0.122
2022-04-18 15:07:00,0.122
2022-04-18 15:07:15,0.187
2022-04-18 15:07:30,0.187
2022-04-18 15:07:45,0.270
2022-04-18 15:08:00,0.270
2022-04-18 15:08:15,0.177
2022-04-18 15:08:30,0.177
2022-04-18 15:08:45,0.421
2022-04-18 15:09:00,0.421
2022-04-18 15:09:15,0.146
2022-04-18 15:09:30,0.146
2022-04-18 15:09:45,0.186
2022-04-18 15:10:00,0.186
2022-04-18 15:10:15,0.225
2022-04-18 15:10:30,0.225
2022-04-18 15:10:45,0.205
2022-04-18 15:11:00,0.205
2022-04-18 15:11:15,0.239
2022-04-18 15:11:30,0.239
2022-04-18 15:11:45,0.148
2022-04-18 15:12:00,0.148
2022-04-18 15:12:15,0.207
2022-04-18 15:12:30,0.207
2022-04-18 15:12:45,0.261
2022-04-18 15:13:00,0.261
2022-04-18 15:13:15,0.124
2022-04-18 15:13:30,0.124
2022-04-18 15:13:45,0.268
2022-04-18 15:14:00,0.268
2022-04-18 15:14:15,0.186
2022-04-18 15:14:30,0.186
2022-04-18 15:14:45,0.212
2022-04-18 15:15:00,0.212
2022-04-18 15:15:15,0.251
2022-04-18 15:15:30,0.251
2022-04-18 15:15:45,0.216
2022-04-18 15:16:00,0.216
2022-04-18 15:16:15,0.143
2022-04-18 15:16:30,0.143
2022-04-18 15:16:45,0.307
2022-04-18 15:17:00,0.307
2022-04-18 15:17:15,0.221
2022-04-18 15:17:30,0.221
2022-04-18 15:17:45,0.192
2022-04-18 15:18:00,0.192
2022-04-18 15:18:15,0.195
2022-04-18 15:18:30,0.195
2022-04-18 15:18:45,0.229
2022-04-18 15:19:00,0.229
2022-04-18 15:19:15,0.293
2022-04-18 15:19:30,0.293
2022-04-18 15:19:45,0.250
2022-04-18 15:20:00,0.250
2022-04-18 15:20:15,0.139
2022-04-18 15:20:30,0.139
2022-04-18 15:20:45,0.317
2022-04-18 15:21:00,0.317
2022-04-18 15:21:15,0.0913
2022-04-18 15:21:30,0.0913
2022-04-18 15:21:45,0.190
2022-04-18 15:22:00,0.190
2022-04-18 15:22:15,0.233
2022-04-18 15:22:30,0.233
2022-04-18 15:22:45,0.0809
2022-04-18 15:23:00,0.0809
2022-04-18 15:23:15,0.269
2022-04-18 15:23:30,0.269
2022-04-18 15:23:45,0.159
2022-04-18 15:24:00,0.159
2022-04-18 15:24:15,0.240
2022-04-18 15:24:30,0.240
2022-04-18 15:24:45,0.298
2022-04-18 15:25:00,0.298
2022-04-18 15:25:15,0.229
2022-04-18 15:25:30,0.229
2022-04-18 15:25:45,0.130
2022-04-18 15:26:00,0.130
2022-04-18 15:26:15,0.227
2022-04-18 15:26:30,0.227
2022-04-18 15:26:45,0.221
2022-04-18 15:27:00,0.221
2022-04-18 15:27:15,0.251
2022-04-18 15:27:30,0.251
2022-04-18 15:27:45,0.0948
2022-04-18 15:28:00,0.0948
2022-04-18 15:28:15,0.202
2022-04-18 15:28:30,0.202
2022-04-18 15:28:45,0.255
2022-04-18 15:29:00,0.255
2022-04-18 15:29:15,0.288
2022-04-18 15:29:30,0.288
2022-04-18 15:29:45,0.201
2022-04-18 15:30:00,0.201
2022-04-18 15:30:15,0.225
2022-04-18 15:30:30,0.225
2022-04-18 15:30:45,0.297
2022-04-18 15:31:00,0.297
2022-04-18 15:31:15,0.211
2022-04-18 15:31:30,0.211
2022-04-18 15:31:45,0.160
2022-04-18 15:32:00,0.160
2022-04-18 15:32:15,0.224
2022-04-18 15:32:30,0.224
2022-04-18 15:32:45,0.339
2022-04-18 15:33:00,0.339
2022-04-18 15:33:15,0.169
2022-04-18 15:33:30,0.169
2022-04-18 15:33:45,0.244
2022-04-18 15:34:00,0.244
2022-04-18 15:34:15,0.212
2022-04-18 15:34:30,0.212
2022-04-18 15:34:45,0.116

