"Time","edge-server-cv-78d887c496-njhtr"
2022-04-18 15:05:45,17.9
2022-04-18 15:06:00,17.9
2022-04-18 15:06:15,19.8
2022-04-18 15:06:30,19.8
2022-04-18 15:06:45,23.8
2022-04-18 15:07:00,23.8
2022-04-18 15:07:15,29.3
2022-04-18 15:07:30,29.3
2022-04-18 15:07:45,23.0
2022-04-18 15:08:00,23.0
2022-04-18 15:08:15,31.0
2022-04-18 15:08:30,31.0
2022-04-18 15:08:45,14.7
2022-04-18 15:09:00,14.7
2022-04-18 15:09:15,20.7
2022-04-18 15:09:30,20.7
2022-04-18 15:09:45,22.7
2022-04-18 15:10:00,22.7
2022-04-18 15:10:15,19.8
2022-04-18 15:10:30,19.8
2022-04-18 15:10:45,17.1
2022-04-18 15:11:00,17.1
2022-04-18 15:11:15,26.6
2022-04-18 15:11:30,26.6
2022-04-18 15:11:45,24.4
2022-04-18 15:12:00,24.4
2022-04-18 15:12:15,26.2
2022-04-18 15:12:30,26.2
2022-04-18 15:12:45,17.1
2022-04-18 15:13:00,17.1
2022-04-18 15:13:15,24.3
2022-04-18 15:13:30,24.3
2022-04-18 15:13:45,24.0
2022-04-18 15:14:00,24.0
2022-04-18 15:14:15,27.1
2022-04-18 15:14:30,27.1
2022-04-18 15:14:45,19.5
2022-04-18 15:15:00,19.5
2022-04-18 15:15:15,22.1
2022-04-18 15:15:30,22.1
2022-04-18 15:15:45,20.4
2022-04-18 15:16:00,20.4
2022-04-18 15:16:15,29.1
2022-04-18 15:16:30,29.1
2022-04-18 15:16:45,21.8
2022-04-18 15:17:00,21.8
2022-04-18 15:17:15,24.8
2022-04-18 15:17:30,24.8
2022-04-18 15:17:45,21.5
2022-04-18 15:18:00,21.5
2022-04-18 15:18:15,26.6
2022-04-18 15:18:30,26.6
2022-04-18 15:18:45,23.0
2022-04-18 15:19:00,23.0
2022-04-18 15:19:15,31.6
2022-04-18 15:19:30,31.6
2022-04-18 15:19:45,17.4
2022-04-18 15:20:00,17.4
2022-04-18 15:20:15,23.0
2022-04-18 15:20:30,23.0
2022-04-18 15:20:45,19.5
2022-04-18 15:21:00,19.5
2022-04-18 15:21:15,19.1
2022-04-18 15:21:30,19.1
2022-04-18 15:21:45,20.1
2022-04-18 15:22:00,20.1
2022-04-18 15:22:15,14.6
2022-04-18 15:22:30,14.6
2022-04-18 15:22:45,20.8
2022-04-18 15:23:00,20.8
2022-04-18 15:23:15,27.5
2022-04-18 15:23:30,27.5
2022-04-18 15:23:45,31.1
2022-04-18 15:24:00,31.1
2022-04-18 15:24:15,27.5
2022-04-18 15:24:30,27.5
2022-04-18 15:24:45,26.9
2022-04-18 15:25:00,26.9
2022-04-18 15:25:15,17.7
2022-04-18 15:25:30,17.7
2022-04-18 15:25:45,24.3
2022-04-18 15:26:00,24.3
2022-04-18 15:26:15,20.2
2022-04-18 15:26:30,20.2
2022-04-18 15:26:45,19.8
2022-04-18 15:27:00,19.8
2022-04-18 15:27:15,23.3
2022-04-18 15:27:30,23.3
2022-04-18 15:27:45,22.9
2022-04-18 15:28:00,22.9
2022-04-18 15:28:15,19.7
2022-04-18 15:28:30,19.7
2022-04-18 15:28:45,28.3
2022-04-18 15:29:00,28.3
2022-04-18 15:29:15,23.4
2022-04-18 15:29:30,23.4
2022-04-18 15:29:45,26.9
2022-04-18 15:30:00,26.9
2022-04-18 15:30:15,27.2
2022-04-18 15:30:30,27.2
2022-04-18 15:30:45,31.7
2022-04-18 15:31:00,31.7
2022-04-18 15:31:15,23.0
2022-04-18 15:31:30,23.0
2022-04-18 15:31:45,30.7
2022-04-18 15:32:00,30.7
2022-04-18 15:32:15,26.6
2022-04-18 15:32:30,26.6
2022-04-18 15:32:45,19.4
2022-04-18 15:33:00,19.4
2022-04-18 15:33:15,22.5
2022-04-18 15:33:30,22.5
2022-04-18 15:33:45,18.7
2022-04-18 15:34:00,18.7
2022-04-18 15:34:15,22.7
2022-04-18 15:34:30,22.7
2022-04-18 15:34:45,25.9

