"Time","Value"
2022-04-15 17:22:15,28.9
2022-04-15 17:22:30,28.9
2022-04-15 17:22:45,36.7
2022-04-15 17:23:00,36.7
2022-04-15 17:23:15,27.3
2022-04-15 17:23:30,27.3
2022-04-15 17:23:45,40.9
2022-04-15 17:24:00,40.9
2022-04-15 17:24:15,39.7
2022-04-15 17:24:30,39.7
2022-04-15 17:24:45,41.7
2022-04-15 17:25:00,41.7
2022-04-15 17:25:15,38.0
2022-04-15 17:25:30,38.0
2022-04-15 17:25:45,41.8
2022-04-15 17:26:00,41.8
2022-04-15 17:26:15,38.6
2022-04-15 17:26:30,38.6
2022-04-15 17:26:45,37.8
2022-04-15 17:27:00,37.8
2022-04-15 17:27:15,35.8
2022-04-15 17:27:30,35.8
2022-04-15 17:27:45,36.0
2022-04-15 17:28:00,36.0
2022-04-15 17:28:15,52.2
2022-04-15 17:28:30,52.2
2022-04-15 17:28:45,39.1
2022-04-15 17:29:00,39.1
2022-04-15 17:29:15,41.0
2022-04-15 17:29:30,41.0
2022-04-15 17:29:45,27.5
2022-04-15 17:30:00,27.5
2022-04-15 17:30:15,48.1
2022-04-15 17:30:30,48.1
2022-04-15 17:30:45,28.4
2022-04-15 17:31:00,28.4
2022-04-15 17:31:15,41.9
2022-04-15 17:31:30,41.9
2022-04-15 17:31:45,35.8
2022-04-15 17:32:00,35.8
2022-04-15 17:32:15,40.4
2022-04-15 17:32:30,40.4
2022-04-15 17:32:45,38.1
2022-04-15 17:33:00,38.1
2022-04-15 17:33:15,48.5
2022-04-15 17:33:30,48.5
2022-04-15 17:33:45,21.5
2022-04-15 17:34:00,21.5
2022-04-15 17:34:15,50.4
2022-04-15 17:34:30,50.4
2022-04-15 17:34:45,31.4
2022-04-15 17:35:00,31.4
2022-04-15 17:35:15,33.6
2022-04-15 17:35:30,33.6
2022-04-15 17:35:45,50.2
2022-04-15 17:36:00,50.2
2022-04-15 17:36:15,42.5
2022-04-15 17:36:30,42.5
2022-04-15 17:36:45,18.8
2022-04-15 17:37:00,18.8
2022-04-15 17:37:15,57.2
2022-04-15 17:37:30,57.2
2022-04-15 17:37:45,44.4
2022-04-15 17:38:00,44.4
2022-04-15 17:38:15,40.5
2022-04-15 17:38:30,40.5
2022-04-15 17:38:45,20.7
2022-04-15 17:39:00,20.7
2022-04-15 17:39:15,60.1
2022-04-15 17:39:30,60.1
2022-04-15 17:39:45,49.9
2022-04-15 17:40:00,49.9
2022-04-15 17:40:15,56.4
2022-04-15 17:40:30,56.4
2022-04-15 17:40:45,38.1
2022-04-15 17:41:00,38.1
2022-04-15 17:41:15,30.4
2022-04-15 17:41:30,30.4
2022-04-15 17:41:45,60.0
2022-04-15 17:42:00,60.0
2022-04-15 17:42:15,42.4
2022-04-15 17:42:30,42.4
2022-04-15 17:42:45,37.8
2022-04-15 17:43:00,37.8
2022-04-15 17:43:15,40.4
2022-04-15 17:43:30,40.4
2022-04-15 17:43:45,24.7
2022-04-15 17:44:00,24.7
2022-04-15 17:44:15,52.4
2022-04-15 17:44:30,52.4
2022-04-15 17:44:45,36.3
2022-04-15 17:45:00,36.3
2022-04-15 17:45:15,51.5
2022-04-15 17:45:30,51.5
2022-04-15 17:45:45,47.9
2022-04-15 17:46:00,47.9
2022-04-15 17:46:15,45.1
2022-04-15 17:46:30,45.1
2022-04-15 17:46:45,32.3
2022-04-15 17:47:00,32.3
2022-04-15 17:47:15,37.2
2022-04-15 17:47:30,37.2
2022-04-15 17:47:45,51.8
2022-04-15 17:48:00,51.8
2022-04-15 17:48:15,33.0
2022-04-15 17:48:30,33.0
2022-04-15 17:48:45,48.5
2022-04-15 17:49:00,48.5
2022-04-15 17:49:15,23.6
2022-04-15 17:49:30,23.6
2022-04-15 17:49:45,61.4
2022-04-15 17:50:00,61.4
2022-04-15 17:50:15,49.5
2022-04-15 17:50:30,49.5
2022-04-15 17:50:45,22.7
2022-04-15 17:51:00,22.7
2022-04-15 17:51:15,57.0

