"Time","/kubepods/pod17db9e76-cd38-4718-ae1b-012adbe50770/39d949de140905ded9f8e9fba7cb2fabb17905459c7d756841877477ebc77ee8"
2022-04-15 14:42:15,0.591
2022-04-15 14:42:30,0.591
2022-04-15 14:42:45,0.644
2022-04-15 14:43:00,0.644
2022-04-15 14:43:15,0.531
2022-04-15 14:43:30,0.531
2022-04-15 14:43:45,0.437
2022-04-15 14:44:00,0.437
2022-04-15 14:44:15,0.407
2022-04-15 14:44:30,0.407
2022-04-15 14:44:45,0.678
2022-04-15 14:45:00,0.678
2022-04-15 14:45:15,0.198
2022-04-15 14:45:30,0.198
2022-04-15 14:45:45,0.704
2022-04-15 14:46:00,0.704
2022-04-15 14:46:15,0.537
2022-04-15 14:46:30,0.537
2022-04-15 14:46:45,0.477
2022-04-15 14:47:00,0.477
2022-04-15 14:47:15,0.484
2022-04-15 14:47:30,0.484
2022-04-15 14:47:45,0.669
2022-04-15 14:48:00,0.669
2022-04-15 14:48:15,0.411
2022-04-15 14:48:30,0.411
2022-04-15 14:48:45,0.288
2022-04-15 14:49:00,0.288
2022-04-15 14:49:15,0.392
2022-04-15 14:49:30,0.392
2022-04-15 14:49:45,0.648
2022-04-15 14:50:00,0.648
2022-04-15 14:50:15,0.662
2022-04-15 14:50:30,0.662
2022-04-15 14:50:45,0.650
2022-04-15 14:51:00,0.650
2022-04-15 14:51:15,0.563
2022-04-15 14:51:30,0.563
2022-04-15 14:51:45,0.639
2022-04-15 14:52:00,0.639
2022-04-15 14:52:15,0.632
2022-04-15 14:52:30,0.632
2022-04-15 14:52:45,0.491
2022-04-15 14:53:00,0.491
2022-04-15 14:53:15,0.573
2022-04-15 14:53:30,0.573
2022-04-15 14:53:45,0.522
2022-04-15 14:54:00,0.522
2022-04-15 14:54:15,0.302
2022-04-15 14:54:30,0.302
2022-04-15 14:54:45,0.881
2022-04-15 14:55:00,0.881
2022-04-15 14:55:15,0.479
2022-04-15 14:55:30,0.479
2022-04-15 14:55:45,0.717
2022-04-15 14:56:00,0.717
2022-04-15 14:56:15,0.402
2022-04-15 14:56:30,0.402
2022-04-15 14:56:45,0.504
2022-04-15 14:57:00,0.504
2022-04-15 14:57:15,0.569
2022-04-15 14:57:30,0.569
2022-04-15 14:57:45,0.550
2022-04-15 14:58:00,0.550
2022-04-15 14:58:15,0.671
2022-04-15 14:58:30,0.671
2022-04-15 14:58:45,0.405
2022-04-15 14:59:00,0.405
2022-04-15 14:59:15,0.499
2022-04-15 14:59:30,0.499
2022-04-15 14:59:45,0.260
2022-04-15 15:00:00,0.260
2022-04-15 15:00:15,0.735
2022-04-15 15:00:30,0.735
2022-04-15 15:00:45,0.578
2022-04-15 15:01:00,0.578
2022-04-15 15:01:15,0.564
2022-04-15 15:01:30,0.564
2022-04-15 15:01:45,0.613
2022-04-15 15:02:00,0.613
2022-04-15 15:02:15,0.429
2022-04-15 15:02:30,0.429
2022-04-15 15:02:45,0.534
2022-04-15 15:03:00,0.534
2022-04-15 15:03:15,0.446
2022-04-15 15:03:30,0.446
2022-04-15 15:03:45,0.614
2022-04-15 15:04:00,0.614
2022-04-15 15:04:15,0.752
2022-04-15 15:04:30,0.752
2022-04-15 15:04:45,0.284
2022-04-15 15:05:00,0.284
2022-04-15 15:05:15,0.685
2022-04-15 15:05:30,0.685
2022-04-15 15:05:45,0.487
2022-04-15 15:06:00,0.487
2022-04-15 15:06:15,0.754
2022-04-15 15:06:30,0.754
2022-04-15 15:06:45,0.502
2022-04-15 15:07:00,0.502
2022-04-15 15:07:15,0.531
2022-04-15 15:07:30,0.531
2022-04-15 15:07:45,0.292
2022-04-15 15:08:00,0.292
2022-04-15 15:08:15,0.689
2022-04-15 15:08:30,0.689
2022-04-15 15:08:45,0.686
2022-04-15 15:09:00,0.686
2022-04-15 15:09:15,0.679
2022-04-15 15:09:30,0.679
2022-04-15 15:09:45,0.439
2022-04-15 15:10:00,0.439
2022-04-15 15:10:15,0.601
2022-04-15 15:10:30,0.601
2022-04-15 15:10:45,0.493
2022-04-15 15:11:00,0.493
2022-04-15 15:11:15,0.742

