"Time","edge-server-cv-74d975f7cd-64tvg","edge-server-cv-74d975f7cd-xj7sb","average"
2022-04-18 16:36:30,0.518,0.486,0.502
2022-04-18 16:36:45,0.413,0.754,0.584
2022-04-18 16:37:00,0.413,0.754,0.584
2022-04-18 16:37:15,0.495,0.520,0.508
2022-04-18 16:37:30,0.495,0.520,0.508
2022-04-18 16:37:45,0.708,0.562,0.635
2022-04-18 16:38:00,0.708,0.562,0.635
2022-04-18 16:38:15,0.533,0.606,0.570
2022-04-18 16:38:30,0.533,0.606,0.570
2022-04-18 16:38:45,0.543,0.521,0.532
2022-04-18 16:39:00,0.543,0.521,0.532
2022-04-18 16:39:15,0.586,0.547,0.566
2022-04-18 16:39:30,0.586,0.547,0.566
2022-04-18 16:39:45,0.687,0.474,0.581
2022-04-18 16:40:00,0.687,0.474,0.581
2022-04-18 16:40:15,0.697,0.585,0.641
2022-04-18 16:40:30,0.697,0.585,0.641
2022-04-18 16:40:45,0.704,0.672,0.688
2022-04-18 16:41:00,0.704,0.672,0.688
2022-04-18 16:41:15,0.534,0.399,0.467
2022-04-18 16:41:30,0.534,0.399,0.467
2022-04-18 16:41:45,0.513,0.671,0.592
2022-04-18 16:42:00,0.513,0.671,0.592
2022-04-18 16:42:15,0.370,0.324,0.347
2022-04-18 16:42:30,0.370,0.324,0.347
2022-04-18 16:42:45,0.470,0.302,0.386
2022-04-18 16:43:00,0.470,0.302,0.386
2022-04-18 16:43:15,0.460,0.978,0.719
2022-04-18 16:43:30,0.460,0.978,0.719
2022-04-18 16:43:45,0.560,0.573,0.567
2022-04-18 16:44:00,0.560,0.573,0.567
2022-04-18 16:44:15,0.568,0.473,0.521
2022-04-18 16:44:30,0.568,0.473,0.521
2022-04-18 16:44:45,0.855,0.564,0.709
2022-04-18 16:45:00,0.855,0.564,0.709
2022-04-18 16:45:15,0.631,0.683,0.657
2022-04-18 16:45:30,0.631,0.683,0.657
2022-04-18 16:45:45,0.435,0.475,0.455
2022-04-18 16:46:00,0.435,0.475,0.455
2022-04-18 16:46:15,0.531,0.404,0.467
2022-04-18 16:46:30,0.531,0.404,0.467
2022-04-18 16:46:45,0.715,0.615,0.665
2022-04-18 16:47:00,0.715,0.615,0.665
2022-04-18 16:47:15,0.670,0.642,0.656
2022-04-18 16:47:30,0.670,0.642,0.656
2022-04-18 16:47:45,0.499,0.208,0.353
2022-04-18 16:48:00,0.499,0.208,0.353
2022-04-18 16:48:15,0.618,0.728,0.673
2022-04-18 16:48:30,0.618,0.728,0.673
2022-04-18 16:48:45,0.571,0.633,0.602
2022-04-18 16:49:00,0.571,0.633,0.602
2022-04-18 16:49:15,0.630,0.503,0.567
2022-04-18 16:49:30,0.630,0.503,0.567
2022-04-18 16:49:45,0.341,0.660,0.500
2022-04-18 16:50:00,0.341,0.660,0.500
2022-04-18 16:50:15,0.731,0.532,0.632
2022-04-18 16:50:30,0.731,0.532,0.632
2022-04-18 16:50:45,0.569,0.639,0.604
2022-04-18 16:51:00,0.569,0.639,0.604
2022-04-18 16:51:15,0.541,0.486,0.514
2022-04-18 16:51:30,0.541,0.486,0.514
2022-04-18 16:51:45,0.674,0.684,0.679
2022-04-18 16:52:00,0.674,0.684,0.679
2022-04-18 16:52:15,0.436,0.466,0.451
2022-04-18 16:52:30,0.436,0.466,0.451
2022-04-18 16:52:45,0.581,0.405,0.493
2022-04-18 16:53:00,0.581,0.405,0.493
2022-04-18 16:53:15,0.653,0.740,0.696
2022-04-18 16:53:30,0.653,0.740,0.696
2022-04-18 16:53:45,0.812,0.758,0.785
2022-04-18 16:54:00,0.812,0.758,0.785
2022-04-18 16:54:15,0.648,0.541,0.595
2022-04-18 16:54:30,0.648,0.541,0.595
2022-04-18 16:54:45,0.599,0.608,0.604
2022-04-18 16:55:00,0.599,0.608,0.604
2022-04-18 16:55:15,0.440,0.243,0.341
2022-04-18 16:55:30,0.440,0.243,0.341
2022-04-18 16:55:45,0.544,1.06,0.803
2022-04-18 16:56:00,0.544,1.06,0.803
2022-04-18 16:56:15,0.623,0.745,0.684
2022-04-18 16:56:30,0.623,0.745,0.684
2022-04-18 16:56:45,0.613,0.417,0.515
2022-04-18 16:57:00,0.613,0.417,0.515
2022-04-18 16:57:15,0.393,0.773,0.583
2022-04-18 16:57:30,0.393,0.773,0.583
2022-04-18 16:57:45,0.629,1.01,0.820
2022-04-18 16:58:00,0.629,1.01,0.820
2022-04-18 16:58:15,0.656,0.537,0.596
2022-04-18 16:58:30,0.656,0.537,0.596
2022-04-18 16:58:45,1.04,0.661,0.852
2022-04-18 16:59:00,1.04,0.661,0.852
2022-04-18 16:59:15,0.531,0.663,0.597
2022-04-18 16:59:30,0.531,0.663,0.597
2022-04-18 16:59:45,0.806,0.373,0.589
2022-04-18 17:00:00,0.806,0.373,0.589
2022-04-18 17:00:15,0.591,0.817,0.704
2022-04-18 17:00:30,0.591,0.817,0.704
2022-04-18 17:00:45,0.578,0.794,0.686
2022-04-18 17:01:00,0.578,0.794,0.686
2022-04-18 17:01:15,0.574,0.334,0.454
2022-04-18 17:01:30,0.574,0.334,0.454
2022-04-18 17:01:45,0.786,0.686,0.736
2022-04-18 17:02:00,0.786,0.686,0.736
2022-04-18 17:02:15,0.585,0.605,0.595
2022-04-18 17:02:30,0.585,0.605,0.595
2022-04-18 17:02:45,0.526,0.592,0.559
2022-04-18 17:03:00,0.526,0.592,0.559
2022-04-18 17:03:15,0.748,0.561,0.655
2022-04-18 17:03:30,0.748,0.561,0.655
2022-04-18 17:03:45,0.713,0.813,0.763
2022-04-18 17:04:00,0.713,0.813,0.763
2022-04-18 17:04:15,0.492,0.653,0.573
2022-04-18 17:04:30,0.492,0.653,0.573
2022-04-18 17:04:45,0.635,0.701,0.668
2022-04-18 17:05:00,0.635,0.701,0.668
2022-04-18 17:05:15,0.442,0.722,0.582
2022-04-18 17:05:30,0.442,0.722,0.582

